Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],Smith [m],Smith_corrected [m]
02/11/2015 16:00:00,10.1073,,85.669,85.6745
02/11/2015 16:15:00,10.1061,,85.671,85.6765
02/11/2015 16:30:00,10.1056,,85.67,85.6759
02/11/2015 16:45:00,10.1065,,85.672,85.6777
02/11/2015 17:00:00,10.1074,,85.676,85.6809
02/11/2015 17:15:00,10.1069,,85.679,85.6836
02/11/2015 17:30:00,10.1056,,85.683,85.6863
02/11/2015 17:45:00,10.1035,,85.679,85.6813
02/11/2015 18:00:00,10.1008,,85.677,85.6768
02/11/2015 18:15:00,10.0966,,85.678,85.6759
02/11/2015 18:30:00,10.0937,,85.68,85.676
02/11/2015 18:45:00,10.0959,,85.679,85.6734
02/11/2015 19:00:00,10.099,,85.681,85.6741
02/11/2015 19:15:00,10.0994,,85.684,85.6757
02/11/2015 19:30:00,10.0988,,85.69,85.6797
02/11/2015 19:45:00,10.0983,,85.695,85.6831
02/11/2015 20:00:00,10.0967,,85.699,85.6867
02/11/2015 20:15:00,10.0923,,85.712,85.6988
02/11/2015 20:30:00,10.0871,,85.709,85.6957
02/11/2015 20:45:00,10.0829,,85.708,85.6951
02/11/2015 21:00:00,10.0788,,85.706,85.6936
02/11/2015 21:15:00,10.0738,,85.706,85.6944
02/11/2015 21:30:00,10.0702,,85.704,85.6935
02/11/2015 21:45:00,10.0715,,85.701,85.6922
02/11/2015 22:00:00,10.0739,,85.7,85.6927
02/11/2015 22:15:00,10.0741,,85.696,85.6914
02/11/2015 22:30:00,10.0748,,85.692,85.6894
02/11/2015 22:45:00,10.078,,85.69,85.6902
02/11/2015 23:00:00,10.082,,85.69,85.692
02/11/2015 23:15:00,10.0861,,85.688,85.691
02/11/2015 23:30:00,10.0896,,85.689,85.6926
02/11/2015 23:45:00,10.0909,,85.689,85.693
03/11/2015 00:00:00,10.0914,,85.69,85.6952
03/11/2015 00:15:00,10.0922,,85.689,85.6942
03/11/2015 00:30:00,10.0929,,85.687,85.6932
03/11/2015 00:45:00,10.0931,,85.69,85.6958
03/11/2015 01:00:00,10.0935,,85.689,85.6956
03/11/2015 01:15:00,10.0947,,85.687,85.6942
03/11/2015 01:30:00,10.0959,,85.689,85.6972
03/11/2015 01:45:00,10.0964,,85.692,85.7004
03/11/2015 02:00:00,10.0962,,85.691,85.6985
03/11/2015 02:15:00,10.0946,,85.692,85.699
03/11/2015 02:30:00,10.0931,,85.692,85.6971
03/11/2015 02:45:00,10.0933,,85.692,85.6961
03/11/2015 03:00:00,10.0936,,85.69,85.6928
03/11/2015 03:15:00,10.0925,,85.694,85.6948
03/11/2015 03:30:00,10.0917,,85.694,85.6925
03/11/2015 03:45:00,10.0932,,85.694,85.6919
03/11/2015 04:00:00,10.0945,,85.697,85.6927
03/11/2015 04:15:00,10.0932,,85.7,85.6935
03/11/2015 04:30:00,10.0911,,85.702,85.693
03/11/2015 04:45:00,10.0898,,85.705,85.6926
03/11/2015 05:00:00,10.0883,,85.702,85.6875
03/11/2015 05:15:00,10.0855,,85.706,85.6896
03/11/2015 05:30:00,10.083,,85.709,85.6914
03/11/2015 05:45:00,10.0829,,85.713,85.6955
03/11/2015 06:00:00,10.0823,,85.718,85.6993
03/11/2015 06:15:00,10.0783,,85.719,85.698
